resume_id,ground_truth_title,parsed_title,failure_type,raw_text_snippet
19070271,Professional,"         LEAD MAINTENANCE MECHANIC         Summary    Lead Maintenance Mechanic with 7+ years experience specializing conveyor equipment, sortation systems,      Skills          Electrical Maintenance skills including AC Motors, sensors, and controls.  Mechanical skills focused primarily on the repair and maintaining of conveyor and sortation systems.   Specialized focus in working with Crisplant S2000 series tilt tray sorters.  Strong communication both written and verbal.      Experience in basic facilities maintenance.  Experienced in spare parts inventory, and ordering.   Basic Understanding of Ethernet networks and the TCP/IP protocol stack.  Proven track record of on the job skill advancement.            Experience      Company Name    City  ,   State    Lead Maintenance Mechanic   06/2016   to   Current      In addition to previous duties as a Maintenance Mechanic    Supervised a team of four Mechanics.  Provided onsite technical guidance, and skill development to maintenance team.  Planned and executed the preventative maintenance program on various conveyor systems.   Coordinated with various levels of management across the distribution center with regards to equipment service and availability.  Oversaw and performed various facility maintenance duties.  Handled all parts purchasing and coordinated with vendors regarding lead times and availability.​  Continued to work hands on with all equipment.  Served as primary point of contact for technical issues requiring outside vendor assistance.  Served as onsite IT contact for issues regarding connectivity.   Implemented CCTV as an an IP solution, installing and configuring Hikivision servers in an enterprise network.   Developed and implemented equipment preventative maintenance program, primarily utilizing the MS office suite. Maintained data and accountability pertaining to the program.          Company Name    City  ,   State    Maintenance Mechanic   06/2014   to   06/2016       Performed preventative maintenance on mechanical systems, primarily conveyors.  Performed Unscheduled, and emergency repairs on mechanical systems.  Replaced Gearboxes, reducers, sprockets, chains, and most mechanical drive components.  Modified mechanical systems where possible to improve equipment reliability and availability. Including specification of alternative parts, and maintenance methodology.  Made basic hardware modifications to control systems, specified replacements for obsolete motor control components.   Performed AC Motor replacement.  Performed troubleshooting, replacement, and repair of various motor, and control components including: Photo Electric Switches, Encoders, Tachometers, Inductive Proximity Sensors, Limit Switches, Emergency Stop Hardware, Speed Control (VFD), PC Back Planes, Solenoids, Float Switches, Pressure Switches, Motor Starters, Motor Overloads, Branch Circuit Protection.  Worked extensively on Belt Conveyors, Live Rollers.           Specialized in the repair and Maintenance of an S2000 series Crisplant Tilt Tray Sortation System.  Installed pallet racking systems per engineering drawings.   Operated with minimal supervision.               Company Name    City  ,   State    Maintenance Technician   06/2013   to   06/2014       Maintained various mechanical systems, primarily conveyors.  Maintained various electrical systems, primarily on conveyor systems.  Maintained, and repaired industrial battery chargers.  Maintained industrial batteries.  Performed various facilities maintenance duties as needed. Maintaining high bay lighting, egress lighting, exterior lighting etc.  Installed various CCTV components, cabling.  Installed Ethernet cabling.            Company Name    City  ,   State    Maintenance Helper   06/2011   to   06/2013       Assisted mechanics with preventative maintenance on conveyor systems.  Assisted mechanics with electrical installations and repairs.  Performed basic facilities maintenance.  Assisted with the assembly, and repair of warehouse racking systems.  Performed maintenance on a fleet industrial batteries.           Company Name    City  ,   State    Warehouse Associate   01/2010   to   06/2011       Perform general warehouse duties pertaining to open stock.  Use of RF handheld scanner.  Picking  Packing          Education and Training      H.S     2004     West Deptford High  ,   City  ,   State                Lock Out/ Tag Out   2016     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States    Last renewed 12/19/2016          Personal Protective Equipment   2016     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States    Last renewed 9/26/2016          Electrical Safety: Training for Unqualified Employees   2016     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States              Fall Protection: Workplace Safety   2016     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States    Last renew 9/14/2016          Welding Safety   2015     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States    Last renewed 12/16/2015          Machine Guard Safety   2015     J. J. Keller & Associates, Inc.  ,   City  ,   State  ,   United States    Last renew 12/15/2015        Technical Skills     Experienced in the mechanical and electrical maintenance, and repair of conveyor systems. Specifically experienced in the following products.   Buschman Unisort IV  Buschman Unisort X  Buschman Accuglide, Accuglide Plus  Various V-belt Powered Live Roller Conveyors  Various Belt on slider bed systems  Various Belt on roller systems  Stewart-Glappat Extendable Truck Unloaders(Adjust-o-veyor)  Crisplant S2000 Tilt Tray Sorters.  FKI Logistics Line-Shaft driven Live Rollers.​   Tech King Operations CHAMP Control Systems.  Buschman BOSS2 Realtime Controls.  Crisplant S2000 Control System.      Heavy focus on troubleshooting carton sortation systems. Both electrical, and mechanical. To a lesser extent network connectivity and server administration.  ​  Experience leading a maintenance team across multiple shifts.      Ability to operate most powered industrial equipment, including forklifts, order pickers, aerial work platforms (skyjacks), and boom trucks.     Experienced in the troubleshooting and repair of conveyor motor control systems.     Experienced with the installation and configuration of Variable Frequency Drives.     Functional knowledge of Ethernet networking and the TCP/IP stack.     Reads and understands most types of electrical and mechanical drawings.      ",ontology normalization failure,Snippet unavailable
20905088,Director,Chief Industrial Engineer,ontology normalization failure,Snippet unavailable
35121930,Professional,Chief Manufacturing Technician,ontology normalization failure,Snippet unavailable
31761591,Manager,Chief Sales Director,ontology normalization failure,Snippet unavailable
78273826,Director,Chief Sales Manager,ontology normalization failure,Snippet unavailable
73497035,Analyst,Chief HR Specialist,ontology normalization failure,Snippet unavailable
11995013,Professional,"         LINE ATTENDANT       Summary     Results-oriented Supervisor with diverse background in management and customer service. Dedicated to providing excellent customer service and making operational and procedural improvements.       Highlights          CERTIFICATIONS/SKILLS:  Team player  Excellent multi-tasker  Strong communication skills  Cash handling accuracy  Microsoft Word Experience  Talent in obtaining/charting vital signs  Leadership skills  CPR/First Aid Certification  OSHA Certificate  Microsoft Excel Experience          Store opening and closing procedures  Outstanding communication skills  Outstanding communication skills  Training and development               Accomplishments     Competitive Analysis   Performed competitive analysis to make recommendations for future company growth.     Competitive Analysis   Performed competitive analysis to make recommendations for future company growth.          Experience      Line Attendant     Nov 2009   to   Sep 2014      Company Name   －   City  ,   State     Directed and supervised employees engage in sales, inventory-taking and reconciling cash receipts, or in performing services for customers.  Offered exceptional customer service to differentiate and promote the company brand  Assigned employees to specific duties, scheduled break, assuring they go on time accordingly.  Monitored sales activities to ensure that customers receive satisfactory service and quality goods.  Recommend, selected, and helped locate and obtain merchandise based on customer needs and desires  Called other stores within the area to find desired items  Helped customers try on and fit merchandise  Greeted customers and ascertain what each customer wants and needs  Responded to written and telephone requests for particular items for customers  Maintained knowledge of current sales and promotions, policies regarding payment and exchanges, and security practices  Answered and directed phone calls to assigned employees  Unloaded, picked, staged and loaded products for shipping  Rotated stock by code and receiving date  Transported goods from racks, shelves and vehicles.  Replenished floor stock and processed shipments to ensure product availability for customers  Upheld stock levels and proper pricing for multiple product lines.  Supervised material flow, storage and global order fulfillment.  Transported goods from racks, shelves and vehicles.  Worked at a rapid pace to meet tight deadlines.  Banded, wrapped, packaged and cleared equipment.         Crew leader     Apr 2009   to   Feb 2010      Company Name   －   City  ,   State     Cooked and prepared food for customers according to the corporate guidelines  Used an electronic temperature gauge to ensure food is cooked to the FDA guidelines  Packaged food, places the food in a bag and delivers the food to the customer  Ensured quality assurance in reference to food and customer service standards  Directed storage, preparation and serving of refreshments by other workers at Restaurant  Called out and verified food orders in drive-in restaurant  Read food order slip, received verbal instructions as to food required by patron and prepared food according to instructions  Cleaned work area and food preparation equipment         Medical Assistant Externship     Aug 2008   to   Sep 2008      Company Name   －   City  ,   State     Performed general office duties such as answering telephones, taking dictation and completing insurance forms and making appointments  Showed patients to examination rooms and prepared them for the physician  Cleaned and sterilized instruments and disposed of contaminated supplies  Interviewed patients to obtain medical information and measured their vital signs, weight, and height  Recorded patients' medical history, vital statistics and information such as test results in medical records  Collected blood, tissue and other laboratory specimens, logged the specimens, and prepared them for testing         Seasonal Culinary Arts Café Hostess     Apr 2008   to   Oct 2008      Company Name   －   City  ,   State     Sold and served refreshments to customers  Recorded sales, using cash register  Delivered orders to kitchens, and picked up and served food when it was ready  Brewed coffee and tea, and filled containers with requested beverages  Scrubbed and polished counters, steam tables, and other equipment, and cleaned glasses, dishes, and fountain equipment         Seasonal Sales Associate     Oct 2007   to   Jan 2008      Company Name   －   City  ,   State     Described merchandise and explained use, operation, and care of merchandise to customers  Recommended, selected, and helped locate and obtain merchandise based on customer needs and desires  Cleaned shelves, counters, and tables  Greeted customers and ascertained what each customer wanted and needed  Ticketed, arranged and displayed merchandise to promote sales  Computed sales prices, totaled purchases and received and processed cash and credit payment         Education      Diploma  ,   Medical    Sanford-Brown Institute   －   City  ,   State  ,   US   Sanford-Brown Institute Medical Assistant Diploma: Trevose, PA August 2007 to September 2008       Certifications    Medical Assistant Diploma Medical Assistant CPR OSHA Certificate       Skills    Customer Service, Receptionist, Retail Sales, Cash, Sales, In Sales, Inventory, Reconciling, Sales Activities, Sales And, Security, Security Practices, Telephone, Medical Assistant, Fulfillment, Material Flow, Medical Assistant Diploma, Fda, Quality Assurance, Associate, Cash Register, Cash Handling, Cpr, Cpr/, Excel, Excellent Multi-tasker, Leadership Skills, Microsoft Excel, Microsoft Word, Multi-tasker, Osha Certificate, Strong Communication Skills, Team Player, Word, Pricing, Shipping, Credit, Promote Sales, Sales Associate, Answering, Dictation, General Office, General Office Duties, Laboratory, Medical Records, Statistics, Telephones, Testing   ",ontology normalization failure,Snippet unavailable
16887936,Specialist,Chief Marketing Director,ontology normalization failure,Snippet unavailable
84295343,Professional,"         LEGAL ASSISTANT       Summary     Dedicated and focused  Administrative Assistant  who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority.        Highlights          Fluent in Spanish   Microsoft Office proficiency    Excel spreadsheets  Meticulous attention to detail      Results-oriented  Self-directed  Time management  Strong problem solver            Accomplishments      processes.  Served as sole assistant to 4 attorneys in all phases of litigation.  Awarded ""The Best Performer of the Month"" for the month of April 2015.  Awarded ""Perfect Attendance"" for the year of 2016.        Experience      Legal Assistant    Company Name   －   City  ,   State      Schedule meetings, mediations, hearing dates and depositions.  Review reports by witnesses and police.  Assist attorneys in preparing for trials and court proceedings.  Draft deposition and trial subpoenas.  Draft/file pleadings and motions.          Legal Assistant    Company Name   －   City  ,   State      Compose and revise legal documents for attorneys.  Upload executed documents to LPS.  Coordinate hearings with opposing counsel.  Set and confirm hearings with judicial assistants.  Prepare/file notices, motions and correspondence.  Track and maintain busy attorney schedules.         07/2014   to   11/2016     Paralegal    Company Name   －   City  ,   State      Manage all administrative tasks for three senior partners.  Compose and revise legal documents for attorneys.  Ensure legal documents are processed and handled in a timely and efficient manner in order to comply with appropriate regulations and deadlines.  Perform whatever is necessary to get the job done to provide the firm's clients with excellent service and performance.          Education          DIPLOMA      American Senior High School   －   City  ,   State             2008 2015     ASSOCIATE OF ARTS  :   LEGAL STUDIES    Keiser University   －   City  ,   State      LEGAL STUDIES        Skills    administrative, Attention to detail, attorney, clients, legal documents, meetings, MS Office, police, research, Fluent in Spanish   ",ontology normalization failure,Snippet unavailable
17686472,Engineer,Chief Electronics Technician,ontology normalization failure,Snippet unavailable
30148777,Professional,"         PARALEGAL           Summary     Licensed Paralegal demonstrating confidence and tenacity in project analysis, as well as sound business judgment.       Highlights          Working knowledge of all aspects of the discovery process  Demonstrated ability to conduct legal research using  Westlaw  Highly skilled at organizing and presenting information objectively      Hands-on experience with PracticeMaster and Tabs3 legal  Proficient in managing clerical duties pertinent to a law office              Experience      Paralegal    January 2013       Company Name   －     State      General Litigation, Commercial Litigation, Bankruptcy, Estate Planning, Worker's Compensation Researching legal issues on West Law; Digesting various legal documents and providing fact summary reports to 			attorney; Drafting issues via inter-office memorandums; Managing attorney's schedule by logging important dates and tasks on the 			company network; Reviewing and Analyzing attorney's work for grammar error; Drafting cover letters; Preparing motion packets; Corresponding with opposing counsel and Courthouse administration; Advising clients of changes in the status of their case; Scheduling depositions; Managing client files on company network through Company's practice 				management system, Practice Master; E-filing time-sensitive legal documents with various Courts; Preparing Pleadings Binders and Trial Exhibits for Court; Ardex Laboratories, 2050 Byberry Road.          Receptionist    January 2009   to   January 2013     Company Name   －   City  ,   State      Provided quality customer service to guests upon entering lobby; Answered high volumes of calls on a multi-line phone system, and 				dispatched them according to priority; Organized and managed company data in Excel spreadsheets; Reviewed and separated paperwork submitted by each salesmen daily; Reviewed invoice information entered into MAS200; Generated weekly sales reports for each salesman; Advised inquiring customers of product order shipment and status 				changes; Managed hard copy files; faxed/emailed invoices and all other requested documents; Separated and dispersed mail to the addressed department; Maintained spreadsheets of all customer payments reported by salesmen 					according to business region; Applied all payments (checks, cash, and credit cards) to customer accounts 			according to salesman, location, and remittance advice; Processed all credit card transactions over company's terminal Deposited checks directly into company account using a PNC Pinnacle 				desktop scanner; Reviewed customer accounts for open invoices with a ninety day 				outstanding balance, and was entrusted to devise payment arrangements 				on a case-by-case basis to avoid excessive late fees and penalties; Tracked salesmen's expenses; Composed inter-office memorandums and account memorandums; Over the course of my final two weeks at Ardex Laboratories I trained two			 new hires in two positions (accounts receivables department and 				receptionist.          Administrative Assistant    January 2007   to   January 2009       Provided quality customer service to people with diverse backgrounds; Answered phones on a multi-line system and dispatched them accordingly 			to priority; Scheduled and organized business/staff meetings and scheduled and 				organized appointments with clients; Drafted and typed proposals/invoices and other related documents on 				company letterhead; Made cold calls to customers that were due for maintenance; Faxed invoices; Entrusted to make managerial decisions to satisfy both the customer and 				the company's best interests; Maintained records for accounts receivable and accounts payable 				transactions; Responsible for all administrative duties as related to the Construction field such 			as filing customer orders, composing business letters, responding to legal 			matters, managing business accounts and being consulted for advertising ideas;.          Customer Service Representative    January 2005   to   January 2007     Company Name          Provided high quality customer service to Pilots and Business Aviation 				Companies; Communicated with pilots via radio to prepare lineman for estimated 				arrival and departure times; Provided and reviewed all catering and other accommodations for Pilots 				and Flight Attendants to ensure a comfortable flight; Scheduled hotel reservations and car rentals for Pilots and Crew; Permitted to use company vehicle; Scheduled aircraft preparation for departing flights; Input data and ticket information into  POS system; All aspects of Administrative work such as typing, filing, answering 				phones and record keeping; Recognized for Customer Service Excellence at Atlantic Aviation.          Education      A.S   :   Paralegal Studies  ,   2012    Manor College          Paralegal Studies        American Bar Association approved institution Paralegal Certificate   :     2012    Manor College          American Bar Association approved institution        High School Diploma   :     2004    Nazareth Academy High School Middle States Association of Secondary Schools                  Skills    accounts payable, accounts receivable, accounts receivables, Administrative, advertising, attorney, balance, credit, client, clients, Customer Service, Drafting, filing, Law, Legal, letters, Litigation, managerial, Managing, meetings, Access, Excel spreadsheets, Excel, mail, Microsoft Office Suite, office, PowerPoint, Word, network, Paralegal, phone system, POS, proposals, quality, radio, receptionist, record keeping, Researching, sales, scanner, Scheduling, spreadsheets, phones, answering 				phones, typing, Westlaw   ",ontology normalization failure,Snippet unavailable
11333001,Professional,Chief Operations Technician,ontology normalization failure,Snippet unavailable
17008356,Executive,Chief Operations Manager,ontology normalization failure,Snippet unavailable
23761385,Manager,Chief Electronics Technician,ontology normalization failure,Snippet unavailable
73157997,Manager,Chief Operations Specialist,ontology normalization failure,Snippet unavailable
26987539,Specialist,Chief Marketing Manager,ontology normalization failure,Snippet unavailable
25200253,Analyst,Chief Operations Specialist,ontology normalization failure,Snippet unavailable
